F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,6725799.390,9493390.930,110879.600,10753.860,5656.440,656023.290,1319611.090,90156.940,6128000.400,2701029.070
512,32,1,6848915.250,9661963.760,106706.900,11783.410,5617.000,580593.610,1349768.510,89256.270,6140145.070,2758298.810
512,32,2,6942596.730,9464235.000,107557.780,11338.830,5269.060,695643.670,1279177.990,95380.500,6075110.410,2693270.880
512,64,0,6960968.890,10580354.690,143030.170,26923.200,8923.870,630260.840,1478949.450,87057.420,14986515.250,3374567.080
512,64,1,7050702.980,11175930.480,154585.900,29309.180,8838.520,768173.150,1429416.110,87455.820,14422984.640,3332513.830
512,64,2,7435984.770,10774211.140,156793.250,27931.790,8552.010,651218.950,1442933.960,86071.510,14360091.850,3267444.950
512,128,0,8183560.150,13351647.280,268545.680,235592.770,15209.700,730251.020,1540205.270,93854.160,27251781.430,3963775.610
512,128,1,8217945.450,12385078.760,278697.540,240272.300,14535.720,802885.000,1528207.770,90037.170,28372387.240,4023506.750
512,128,2,8239890.660,14068752.110,283444.730,243938.000,15098.240,802861.650,1551901.490,100001.930,29199225.560,3900258.300
512,256,0,9873882.220,18670710.050,523283.670,741788.460,24567.990,1436488.020,1733924.480,95601.420,56004894.760,5453469.240
512,256,1,10534576.510,16611343.010,521654.400,713835.340,25935.540,1293347.950,1707139.570,91998.350,54491690.370,5425525.290
512,256,2,9430949.050,17405697.230,490653.230,739766.230,29277.910,1265603.410,1764894.530,92805.920,54913985.190,5465859.850
512,512,0,14021508.940,25306055.010,945473.640,1441909.620,53146.190,2997767.200,2211542.560,98014.950,113756830.100,8743625.330
512,512,1,14102611.010,26373892.130,939969.870,1454581.750,52503.540,3245865.040,2226188.570,99065.120,113694641.150,8642914.770
512,512,2,14118871.620,25331114.640,941871.490,1611615.140,52125.540,3399827.770,2140702.500,97279.950,109546660.300,8870170.070
512,1024,0,18365608.440,42896226.110,2124855.460,4392530.170,94809.550,3405322.990,3158913.290,98793.830,226593454.520,14720686.890
512,1024,1,16309843.170,42743837.960,1961731.820,3671877.410,108858.080,4377062.210,3410481.610,105790.550,237810692.260,15985894.690
512,1024,2,14333861.610,46429651.070,1882056.140,4412942.400,95588.370,4009189.370,3629553.440,82744.720,248016979.170,14746396.260
512,2048,0,34641939.320,82042092.190,8601422.170,7723032.520,257153.930,10910161.460,4902979.660,99417.220,450645758.630,27361700.420
512,2048,1,36053052.770,79552843.880,8694917.850,7925177.190,235372.930,9940987.360,4736405.630,96347.500,447417828.850,27702549.820
512,2048,2,34511279.670,84502232.440,8712730.010,8042629.840,267967.230,9238839.240,5012510.510,100987.140,471424635.800,27117297.860
512,4096,0,74930017.730,158505368.100,23432065.440,15975342.100,2173154.150,29943542.850,8458446.660,97895.380,899682782.080,52180595.460
512,4096,1,73558325.720,155316825.150,21646155.650,16239042.670,2079114.760,32489300.580,8762969.770,97205.680,922212282.800,52723820.840
512,4096,2,76409809.290,148820762.840,22478746.460,16437019.120,2211201.610,31637511.770,8686935.740,99548.010,916415825.290,52200968.720
512,8192,0,163314315.900,296188234.020,44488304.630,32259931.320,11663710.990,82666752.950,16026942.090,100168.140,1828514571.460,102896257.270
512,8192,1,168204100.510,299036143.140,46383697.530,31964293.660,11683330.060,80911986.590,15943134.080,101803.040,1813872348.430,102515820.920
512,8192,2,169062889.740,294960976.870,46025786.960,32757943.920,11631069.460,79728884.190,15549581.970,101178.370,1816969065.650,100209272.970
512,16384,0,413193483.080,555217137.810,85317633.880,137738940.490,31800575.860,260825188.480,31274649.030,113018.720,3688282856.760,203097399.470
512,16384,1,469530174.850,631309188.900,86892244.630,149017664.240,33440344.680,249774782.950,29620603.840,106050.070,3728983128.020,206783784.090
512,16384,2,417526284.630,565233798.300,86402976.720,138377136.240,32244773.280,263059983.080,31063550.160,110944.540,3685711253.390,211047754.790
