F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,5225340.110,8124630.720,103045.660,9190.620,5610.740,541120.130,1082321.370,67807.550,6272520.120,2409521.740
512,32,1,5533792.140,8450231.610,112054.390,9231.740,5354.480,517367.970,1048139.510,67070.050,6274022.010,2345221.940
512,32,2,5427375.910,8784477.720,104831.020,10027.640,5483.360,613057.370,1072352.610,68383.520,5988791.770,2505448.500
512,64,0,6434862.150,9970206.240,138489.100,42367.580,8628.970,562600.630,1284291.500,68279.630,14001035.750,3107369.370
512,64,1,5986183.030,10373864.260,152695.750,41115.680,8817.710,646223.760,1273777.460,72772.660,14617821.800,2915469.180
512,64,2,6246814.520,10624051.880,145750.110,41971.220,8716.130,662943.340,1189901.840,66746.350,15586683.780,2975432.780
512,128,0,6887572.430,12364248.770,274206.470,216420.700,15236.640,765124.410,1353186.100,74849.800,28775756.390,3841287.810
512,128,1,6828441.450,12378706.820,268643.780,219370.170,15318.480,639291.350,1292590.090,75602.320,26766055.230,3763461.670
512,128,2,7180954.380,12684399.580,277526.150,209049.510,14693.930,657790.130,1283776.540,78916.040,26365454.610,3755713.010
512,256,0,8889981.270,16654010.930,509624.460,706004.810,28475.990,1214939.380,1561327.440,77913.920,54769807.930,5125462.740
512,256,1,8657760.100,17711798.420,506037.030,651983.450,24892.320,1379089.240,1451572.200,75387.260,55200483.280,5386743.770
512,256,2,8424845.110,16271783.100,488210.580,717904.300,29478.670,1531900.680,1641641.330,77455.340,53882968.480,5606384.230
512,512,0,12473611.570,26863168.140,1023320.990,1603784.280,50559.700,3031222.710,2043123.070,84455.260,116599238.370,8432414.800
512,512,1,11712560.030,27713965.540,1111564.560,1649032.070,50078.900,3807386.690,2248480.720,82037.190,102724940.570,9181152.690
512,512,2,10684408.890,26410541.160,1027559.630,1786050.830,50855.500,3290672.180,1976653.460,73765.750,121690185.620,7478981.740
512,1024,0,16990404.170,43479692.790,2056379.010,4155418.860,103420.190,3282116.960,2975864.750,83077.780,226125698.710,14848156.960
512,1024,1,17163966.150,44512772.120,2023671.690,4192425.410,99816.840,3760361.270,3004141.740,82392.290,225282363.670,14085419.180
512,1024,2,17994204.320,44425206.980,1994869.130,4206527.760,97082.040,3009360.420,2856893.140,79771.710,227776011.170,15012123.400
512,2048,0,34111885.350,80333130.280,8921917.630,7916796.580,237088.460,9490875.300,4681384.470,82684.130,435703106.080,27850616.890
512,2048,1,33546102.170,77546170.500,8652362.900,8194130.150,274467.480,9311753.390,4776336.770,84196.160,450730284.720,27010255.220
512,2048,2,32806615.660,78077187.210,8312578.530,7777385.300,242185.920,11034323.510,4983245.440,83161.020,467607710.220,27603199.760
512,4096,0,72664598.740,146273936.030,22683655.580,15884249.250,2125115.820,30597671.330,8211672.680,86310.040,919100592.730,54288626.700
512,4096,1,70013500.050,141030682.010,21278592.410,14539677.830,2135348.580,28827868.050,9032198.280,89512.950,922913764.860,54555366.400
512,4096,2,71496655.400,145938059.320,21811188.770,15369503.850,2194967.700,29940049.310,8429096.230,82779.120,934238252.990,52322457.550
512,8192,0,164386236.980,298643838.020,45083003.100,32046806.430,11676769.240,79921202.280,15775087.870,87371.280,1812384039.580,103039440.480
512,8192,1,169336189.030,291231271.770,43978958.640,32348859.200,11673504.320,83177023.170,15930854.020,86056.230,1848548213.690,102073244.330
512,8192,2,165002332.400,299284579.370,44505911.390,33307417.400,11581758.230,78258039.320,15835962.190,86047.130,1814798059.900,101828096.070
512,16384,0,419521324.980,581873009.670,90042694.740,144953334.140,31329222.680,226526988.010,27088440.700,85635.140,3702549036.190,216351931.530
512,16384,1,433564898.910,580931323.960,87560845.560,138170048.250,32294414.730,252480759.280,30762688.560,91872.040,3667010635.150,201167669.650
512,16384,2,437356412.150,590698418.800,87950549.790,128131348.250,32137387.620,247780518.370,33035550.560,99920.240,3651721964.390,192158440.530
