F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,5207825.300,9054014.610,90526.320,11695.440,5989.720,487551.500,1085914.230,54537.280,5352688.590,2498384.990
512,32,1,5085765.760,8226541.620,84405.740,11388.760,6780.990,456952.600,1091460.220,56347.270,5428045.750,2462136.640
512,32,2,4885359.690,8250726.830,83603.610,10515.920,5707.960,567303.330,1063305.350,56320.380,5419721.630,2471586.070
512,64,0,5685429.700,7864206.980,106249.510,47420.090,9128.890,551086.280,1008583.490,89176.520,8556214.100,2339132.600
512,64,1,6091343.820,7590793.650,101776.390,45068.130,9378.470,527015.970,942674.340,94045.840,8464088.720,2362265.720
512,64,2,5285999.100,8550807.750,97121.270,42830.230,9982.240,597872.440,948135.600,91938.280,8318111.500,2281064.590
512,128,0,6732542.450,10148641.270,189161.660,180941.540,15036.650,603787.150,1145816.120,107840.790,14775467.520,2885498.300
512,128,1,6924283.080,9661302.540,194494.060,171208.260,15833.490,692462.240,1120661.990,112026.790,15804018.190,3067857.880
512,128,2,7277141.010,8983668.000,175121.380,173453.500,15690.650,806178.960,1115275.940,109785.820,15746678.060,2909032.210
512,256,0,7825262.210,12246651.160,314622.780,405543.610,23519.880,1097945.060,1330551.950,104202.650,28603694.220,3669017.650
512,256,1,8475350.730,11467070.200,313597.040,457784.040,23068.030,1156360.820,1415848.730,102389.290,30942016.760,3945441.330
512,256,2,7793026.320,12662699.090,309780.920,474425.540,23765.090,1065033.380,1244822.560,101783.520,29098110.980,3940119.180
512,512,0,9722863.870,16541143.310,592552.670,764710.030,34214.370,2074525.810,1621094.680,96446.770,62055640.570,5679824.350
512,512,1,8664379.570,17389488.430,616723.140,785849.770,39207.800,1180399.180,1316964.260,77727.450,45518820.550,4492431.830
512,512,2,8937974.660,17194243.890,518717.930,763560.430,38306.480,1860421.470,1513076.700,96874.900,59139464.490,5467975.620
512,1024,0,13104046.890,27362752.430,1120288.470,2493809.270,73068.580,2344000.530,2154535.850,94369.710,119764248.300,8742708.300
512,1024,1,12924616.230,25658236.780,1168319.050,2394300.480,72934.590,2234389.040,2158966.290,91099.110,122994644.480,8775684.530
512,1024,2,12888491.940,27553747.810,1158889.660,2697651.220,75248.380,1995438.810,2102492.070,94610.680,119619649.970,8690557.360
512,2048,0,20222433.340,45446636.120,3323600.270,4647409.420,124520.880,4806763.080,3119247.170,94934.660,242615233.140,16071657.660
512,2048,1,20900019.380,45351297.140,3332176.930,4707678.670,129686.980,5183635.300,3098228.070,97875.240,247112792.650,15594360.850
512,2048,2,18863663.640,43629636.960,3262716.090,4590446.690,131828.300,4681851.140,3013177.330,90952.650,235226434.160,15409904.400
512,4096,0,38122470.850,83445394.540,9983385.070,8668979.470,486769.500,12104201.520,5001829.470,94683.740,479653764.650,28691837.690
512,4096,1,39230963.550,84283294.370,9999369.040,8885972.160,517827.250,13695171.310,4997874.990,95477.680,483426822.290,29030534.400
512,4096,2,39269484.420,83607899.250,10071025.830,8757284.270,494669.190,12431665.410,5003139.180,95281.750,498894758.750,29485991.060
512,8192,0,90066879.010,159448380.280,24330704.050,18579208.540,4186090.480,39517788.390,8855424.530,94515.590,959077502.220,57220282.940
512,8192,1,79475624.670,157910892.420,22904675.310,16902618.660,4761911.780,40552240.740,8411584.490,94028.510,1016049548.350,55219000.150
512,8192,2,89801256.190,167773468.350,24648960.750,18683841.590,4209096.910,42133025.640,7861336.490,90373.100,1036632459.750,55788937.700
512,16384,0,234862565.250,315304530.520,45914325.980,74963450.370,15880719.070,135081567.920,16500790.380,98896.130,1906800289.200,108598649.070
512,16384,1,230630500.830,312566801.920,46531971.240,76687427.100,16136144.550,133136627.910,16014867.320,99592.440,1939511561.570,106976048.180
512,16384,2,236555409.980,310808275.930,45064030.860,74214258.610,15801318.180,129967200.080,16647796.890,95796.840,1928557369.690,106606258.800
