F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,5721883.000,8194025.210,85465.340,8493.030,6243.470,498422.100,1109432.630,69556.330,5236121.670,2409006.770
512,32,1,5527608.760,8260326.990,82117.310,8331.310,5978.490,488253.870,1091995.670,68205.130,5418040.060,2542701.990
512,32,2,5530960.540,8780321.120,91545.860,9701.360,6298.780,470909.510,1044695.010,67856.620,5452810.050,2434511.610
512,64,0,5506940.130,8099107.060,100475.220,59037.640,9571.700,568374.960,909978.170,93213.740,8159197.360,2288600.820
512,64,1,5372147.220,7572673.920,98248.320,54361.000,9508.320,566030.850,907516.250,88520.090,8052889.340,2343214.760
512,64,2,5371799.910,8404886.360,104123.370,57630.380,9030.160,551327.670,957916.550,95899.420,8653894.700,2307111.960
512,128,0,6704951.660,9377143.290,183009.330,211940.070,14811.050,817339.300,1054595.030,103158.520,15556351.950,2791375.470
512,128,1,6828794.780,9351859.750,189466.030,193068.360,16234.460,494002.920,1049716.350,108328.890,15799833.220,2774123.640
512,128,2,6749428.510,8831299.830,181079.370,212786.700,15581.740,742429.860,1201380.370,102639.780,15778083.040,2883738.000
512,256,0,7427267.390,12196793.670,305848.790,449389.540,23782.540,1224303.190,1173188.680,92752.190,29588281.930,3698838.380
512,256,1,7170938.460,12132874.110,326163.760,428725.310,24785.020,946312.220,1261796.980,101370.410,29916702.690,3945630.860
512,256,2,7772638.180,10606932.130,293921.350,399617.630,24084.930,982852.090,1183336.280,90343.220,28904458.720,3779732.430
512,512,0,9155211.250,16732958.570,556071.490,796330.230,41308.360,1949271.930,1476362.250,86628.730,59989426.170,5338110.270
512,512,1,10452925.260,16050570.270,551392.960,800339.440,39805.650,1989118.020,1565231.930,92214.480,61882815.000,5703331.300
512,512,2,8861781.600,17668098.280,540272.200,781088.110,41793.490,2159644.990,1373545.160,94755.830,57503661.360,5348153.850
512,1024,0,11435097.200,28157827.130,1193411.660,2650071.450,67560.860,2166471.160,1946418.000,85768.660,126349659.000,8930166.390
512,1024,1,11559747.640,27784473.090,1170530.540,2622561.660,77623.510,2635114.010,2019003.790,86545.550,128199331.390,9565558.640
512,1024,2,11549336.720,27667962.190,1123361.300,2742510.690,71657.220,2391983.560,1794461.340,90315.530,113222524.640,9140441.000
512,2048,0,19078504.660,47406987.940,3450182.520,4862412.470,147235.210,4895303.280,2953185.280,86373.680,237895037.400,15009529.260
512,2048,1,19893167.620,44921432.940,3154717.070,4482743.300,124751.980,5298918.940,2972443.360,83772.330,235576539.240,14573846.250
512,2048,2,20312635.670,44037018.740,3298732.660,4782704.050,137250.460,4821324.700,2914124.350,84291.860,246858882.440,16593500.910
512,4096,0,37346916.050,80151714.150,10004223.440,8731084.660,558953.460,13717508.550,4932282.250,85531.350,471654447.450,28277689.250
512,4096,1,36888307.760,84694175.750,10431825.260,9107077.690,635174.080,13264562.530,4986456.280,85759.230,469251572.720,27947839.890
512,4096,2,37097591.940,87412249.590,10500551.060,8898158.510,563131.460,12574029.700,5107379.100,90947.220,494073242.330,28912294.620
512,8192,0,87531331.630,158002501.400,23060683.060,17668290.160,4471224.210,38991548.270,8723416.210,85985.000,959630072.420,54403392.570
512,8192,1,84971119.210,161084596.210,23118412.450,17521485.110,4465730.780,39653388.990,8805058.060,87212.560,962846729.310,55243215.890
512,8192,2,89843509.150,160261115.700,23517955.450,18218433.400,4534582.310,37321802.220,8627605.280,86627.240,973339274.870,54636861.320
512,16384,0,230330934.560,313297781.850,44382605.160,79884682.370,15285473.600,139275356.670,15379228.500,86731.340,1927081280.100,109616729.070
512,16384,1,226359339.330,310096401.300,46409995.270,75514420.870,15014541.490,135096020.850,15159102.180,85393.340,1997552747.720,106845365.400
512,16384,2,229696936.290,310923351.060,47414609.430,68129546.920,17095908.250,133769753.430,18083727.890,85006.960,1756697611.530,108729989.370
