F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,5800178.270,8648925.660,98012.260,14246.720,5831.030,671560.830,1196970.090,79791.660,5176209.730,2524369.290
512,32,1,6337988.370,8176314.890,97122.520,14481.290,5971.970,681477.560,1297852.970,77486.940,5277191.110,2546618.060
512,32,2,5859493.160,9191379.760,99172.730,15199.260,6376.960,637429.140,1197560.120,77518.930,5179657.160,2569104.960
512,64,0,7115708.340,11073110.320,141555.290,72644.260,9805.900,746610.910,1367755.310,80319.410,14176002.880,3353880.780
512,64,1,6680766.260,10957246.080,141681.160,72691.650,9971.800,708917.350,1386980.750,81557.460,14096075.980,3303558.500
512,64,2,6761208.050,10385574.240,150144.430,71934.290,9506.270,776987.420,1316689.020,77885.740,13823969.310,3216425.740
512,128,0,7277156.040,12603615.530,234683.500,197820.720,16729.140,746220.210,1372460.560,74499.640,24176623.230,3795572.770
512,128,1,7679461.980,13547480.300,250622.380,208090.100,15865.950,689256.920,1542834.620,81620.860,20949242.340,3478951.110
512,128,2,7168292.870,12396499.800,238584.550,208822.900,16597.050,858416.190,1431477.720,77167.320,24172824.970,3864728.660
512,256,0,8227524.710,15553363.630,416747.130,561361.560,26584.390,1565000.100,1525725.420,69838.390,47623077.950,4990967.010
512,256,1,7339900.490,16864385.670,444205.550,594620.600,25365.420,1076624.100,1242306.680,61768.520,38721259.720,4341080.130
512,256,2,7380287.840,16421725.900,403617.030,612255.280,29269.070,1279330.150,1524117.250,71971.840,48050843.300,5027578.130
512,512,0,12025466.840,24117517.250,895353.380,1339085.420,50145.480,2745070.550,1960956.540,84364.150,96488129.190,7651745.130
512,512,1,11460816.790,24916691.210,897920.040,1442144.430,50394.500,3250130.250,1991421.540,80535.410,99082885.800,7936716.950
512,512,2,11694459.270,22170211.330,796785.550,1266672.860,47319.020,3629309.360,2136834.660,81848.790,94949753.480,7470080.080
512,1024,0,16583672.990,41096185.660,1870003.420,3827477.340,108841.940,3278075.120,2748871.100,81203.050,195436035.950,13268343.790
512,1024,1,16802724.950,38966961.870,1738044.940,3727800.050,108488.170,3387021.690,2785688.050,84580.070,203527347.150,13060236.690
512,1024,2,16074501.100,39926291.220,1766652.450,3692517.620,102725.840,2641011.470,2562351.580,80703.810,187543741.670,12581025.640
512,2048,0,28867103.470,68361079.640,6353346.740,6958125.990,248161.230,8380690.220,4461403.170,83897.490,380927962.060,24660969.660
512,2048,1,28944763.200,69712742.950,6455144.300,7321016.770,273026.580,7674327.680,4434002.950,87179.390,384139510.010,23944271.210
512,2048,2,31805261.950,66493397.920,6663205.090,6840900.290,256715.730,7967299.820,4468866.260,87553.740,375708368.950,25774256.470
512,4096,0,67823608.210,138208813.140,19840647.400,14334309.460,1501078.300,26001125.510,7587838.840,86834.010,802491128.350,46799657.560
512,4096,1,63390825.070,133956135.270,20289335.930,15101712.760,1534663.690,25833536.730,7490984.250,85867.210,800972185.440,47936689.580
512,4096,2,67715145.570,136909277.390,20681825.010,14977137.510,1457123.560,26195387.810,7548908.000,86961.630,830316071.230,47889769.640
512,8192,0,145477390.350,261875019.070,38908848.830,28570089.220,10246310.380,69954520.970,13954150.410,88902.080,1587855900.510,89638420.270
512,8192,1,147147926.710,253211531.890,38099258.570,27766019.130,10152260.540,69805694.120,14115742.440,91752.250,1592744860.590,89675185.480
512,8192,2,148027883.720,259624169.950,39750947.170,28650544.370,10348484.480,70805854.970,14301373.130,89256.670,1604237594.760,88760999.960
512,16384,0,374694912.120,508465989.680,76246068.460,124367019.560,28191609.800,222890371.280,27026777.790,92205.610,3212257641.680,174712144.350
512,16384,1,380342000.830,507438337.710,79072221.840,121926035.510,27145878.220,219447495.680,26473730.500,92528.540,3192222470.110,176264674.320
512,16384,2,387702979.190,507613965.860,77290026.780,124807827.980,27204083.540,220969427.800,26633147.830,95748.220,3180324984.690,176979553.560
