F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,5296645.430,8077991.480,94891.980,42171.910,5669.680,522537.280,999968.230,62807.070,4939237.950,2330403.390
512,32,1,5273153.570,7602353.140,89735.580,40321.240,6098.440,551031.880,1145245.040,65395.910,5341700.030,2485401.190
512,32,2,5420202.330,8374152.090,96548.110,41823.320,6121.370,662193.490,1093401.080,62597.100,5285855.470,2382139.680
512,64,0,6451111.510,10492847.840,149025.970,35338.980,10234.860,680390.530,1335498.890,69649.120,14075325.010,3038503.750
512,64,1,6374010.090,10605883.030,150924.550,34335.650,9323.550,745960.950,1304288.420,73159.480,13554697.740,3208149.200
512,64,2,6270926.010,10735266.170,149830.530,35391.420,9644.810,612600.370,1261863.000,70455.010,14269349.980,3048866.110
512,128,0,7149981.140,11988778.700,243253.230,234482.290,15734.640,802331.130,1330325.810,70617.760,25205050.920,3669024.100
512,128,1,6722187.870,12276617.710,237279.430,236742.380,16362.580,621520.010,1330967.680,66928.510,24454538.170,3613726.240
512,128,2,6977055.680,12518319.520,250511.140,221325.010,15772.510,825527.760,1312701.090,68324.130,25553256.010,3725670.990
512,256,0,8441577.540,16010805.770,405576.630,590467.800,26276.350,1617647.360,1552431.960,73044.210,46002616.630,5011799.780
512,256,1,8681709.390,15483158.240,453989.700,663498.160,26584.400,1295766.890,1436289.840,71949.060,47035483.790,4830894.470
512,256,2,8982805.460,14969225.980,408923.060,612822.760,25660.240,1397833.740,1539426.880,71408.910,48570112.480,4849117.050
512,512,0,11916584.210,22385271.040,887318.150,1338805.880,48356.650,2696571.080,1933515.940,78144.940,94154183.150,7472905.450
512,512,1,12291062.540,22618906.300,826783.240,1303357.680,48692.660,2334352.510,1986333.730,80784.880,98149868.050,7698321.110
512,512,2,11916621.480,23943717.310,871204.980,1394407.370,49239.250,3057769.310,1954066.010,77536.250,97069358.650,7573210.680
512,1024,0,16053272.920,37102902.580,1999066.520,3417028.930,98558.430,2835827.160,2799143.940,81931.740,189463262.520,13702138.440
512,1024,1,16278281.460,39085523.170,1661386.650,4123133.920,105752.890,1732249.980,2485704.840,79203.980,199075411.720,12763456.360
512,1024,2,16899343.320,36464782.060,1786889.080,3543137.330,110833.080,4008326.860,2954922.080,84353.310,200226177.470,13462163.590
512,2048,0,28185635.800,70435402.390,6564225.820,7069629.250,278413.050,9092094.920,4417612.540,84025.850,403460152.730,24763615.330
512,2048,1,30053221.800,74968805.050,6649153.950,6765840.690,249529.970,8089130.510,4356827.590,84868.290,389496112.430,22894632.560
512,2048,2,30752590.960,64632886.240,6761245.180,7388425.700,230186.900,7201842.760,4320020.450,86977.890,398062663.600,23612082.170
512,4096,0,66422774.870,133159873.680,19066958.230,13790787.650,1587582.100,25989501.730,7740137.240,87617.780,786239828.810,45290052.880
512,4096,1,66523738.280,138387018.070,19633029.910,14099917.010,1599854.730,26528377.260,7248770.970,85451.160,769763683.520,43859445.220
512,4096,2,63188097.420,125229045.770,19490580.270,14691117.960,1527332.920,27222694.280,7641730.840,89312.790,779937642.680,47548318.120
512,8192,0,141815343.170,257525862.990,38821917.870,27828680.380,9875251.680,72471285.330,13933101.340,91195.150,1607027586.400,89455121.860
512,8192,1,150699039.410,262561934.480,39515619.830,28559596.140,9973421.970,66806916.670,14029387.820,84756.420,1590042855.570,87763581.920
512,8192,2,146138121.900,255519904.670,39671763.860,28146045.840,9885467.410,72559135.010,13656923.490,90569.170,1586767206.970,89939844.820
512,16384,0,377591458.530,490570422.890,73924071.620,118557590.440,28093290.180,216436487.620,26507188.490,92026.280,3195177434.480,176129987.960
512,16384,1,398611412.300,507850703.440,77772150.470,127289098.020,26319490.200,206333944.020,25134340.790,90073.380,3335379397.560,171648263.610
512,16384,2,351876884.190,517590814.870,73459200.520,114236570.850,29397929.070,221393651.030,27464209.470,90690.620,3212170094.980,180258603.400
