F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,4159609.000,6202251.930,27564.810,8986.820,6320.360,343416.350,914941.870,51830.960,1913719.700,1697726.340
512,32,1,3873230.060,6090625.460,28605.900,8710.910,6322.710,435287.480,953871.390,49499.960,2031289.090,1737533.120
512,32,2,4349090.460,6193698.050,27210.350,9256.340,6305.510,451537.330,930851.080,52034.710,2005510.890,1763988.850
512,64,0,3684131.010,4603119.000,15553.750,13431.750,9886.240,380568.260,731577.740,51873.700,2084247.240,1367851.710
512,64,1,3656385.160,4993500.640,18689.380,15716.530,10554.380,365975.170,771780.250,54977.380,2078698.070,1357434.300
512,64,2,3618145.120,4729410.390,16713.830,13319.290,10174.590,422757.400,696103.800,47768.410,1954241.820,1355604.560
512,128,0,4297483.080,5711249.310,32639.540,23892.590,13305.730,514107.820,814151.780,55800.640,3481804.650,1631256.830
512,128,1,4014227.570,5754882.470,32086.310,21547.930,14458.220,415234.850,867492.900,60052.610,3495966.270,1572022.570
512,128,2,4232519.080,5520992.860,29251.560,22885.410,15953.940,454970.710,822161.590,56942.740,3366571.480,1558275.470
512,256,0,4423416.290,6032633.120,53919.060,49046.190,25446.130,516652.040,886877.750,62544.700,5950708.280,1808958.190
512,256,1,3787348.590,6665195.940,63113.500,52627.750,24302.750,318944.530,759938.750,52366.050,5403952.860,1589785.900
512,256,2,4604103.610,6091438.540,56780.970,47807.600,22931.680,568555.770,820905.640,59552.720,6174242.890,1730955.390
512,512,0,5016532.920,7242051.760,146219.050,153510.860,34148.070,652726.480,964094.410,69640.570,14118396.750,2383109.800
512,512,1,5106381.840,7948085.070,150519.170,166483.160,36263.750,1281415.170,1018371.060,71385.130,16326014.860,2755686.340
512,512,2,5225480.790,7451709.640,141173.820,163839.820,31787.980,752033.400,955403.070,71264.000,13998864.620,2492866.280
512,1024,0,6881793.340,11446018.250,318785.060,783357.740,55761.980,1194465.080,1170948.060,71987.390,29742360.360,3385142.470
512,1024,1,8111271.600,9701325.570,339132.930,746815.100,59285.990,1218041.270,1093273.530,68645.170,27595433.710,2860886.800
512,1024,2,7159420.280,10777538.900,321160.490,811168.010,65711.750,1692380.110,1153590.360,70279.470,29692795.370,3260654.810
512,2048,0,8010782.410,15863292.280,626944.250,1396181.890,85667.130,1856426.070,1365481.020,71454.620,61946603.400,5160608.110
512,2048,1,7298148.530,14642907.460,566745.190,1351668.500,87714.580,1888375.140,1396322.640,71970.070,61603210.660,5195510.610
512,2048,2,9160313.350,15432364.640,636536.850,1345504.240,92487.940,1919118.710,1427789.240,70510.590,57794828.140,5239934.870
512,4096,0,10439246.720,25209132.810,1252672.160,2436658.260,169350.220,2584027.180,1871993.580,71557.260,119665010.380,8487043.710
512,4096,1,12024326.580,26287539.200,1285538.000,2586508.960,171501.580,2980897.270,1869534.480,69835.400,120682221.280,8137748.930
512,4096,2,12416031.210,24730762.880,1216421.530,2686016.000,177626.950,2685734.470,1819445.890,70474.420,109522365.040,8029881.330
512,8192,0,20502805.060,44113963.840,4408141.280,4893875.640,607181.900,8772064.640,2958263.140,73750.860,239240196.210,15011030.970
512,8192,1,21145755.020,43491358.750,4083413.950,5052090.230,629885.710,7098028.080,2960088.220,76297.040,239915008.620,14567735.990
512,8192,2,21882238.790,43313067.540,4165646.370,5020004.890,590780.850,8462646.010,2915624.280,74461.370,238957925.250,15143650.130
512,16384,0,60557997.450,81840296.170,10921520.010,18037915.360,3519861.780,33333145.780,4952195.310,75302.000,472807651.150,28672947.410
512,16384,1,63427522.560,84615476.230,10900610.740,19015192.820,3403619.200,34385378.810,5096652.220,75362.960,491137278.800,28586604.680
512,16384,2,59605586.130,84398592.920,10770513.510,19279131.620,3546986.890,34716441.670,4981344.240,74782.920,484990433.710,28031011.720
