F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,3821570.800,5665330.830,26774.310,7306.460,6409.090,338186.080,873291.550,44598.170,2082512.730,1675496.770
512,32,1,3844522.420,6157323.060,28209.820,8247.800,6084.340,319904.610,849448.130,44913.800,2005871.820,1687442.440
512,32,2,3827404.630,5795974.180,26061.280,7357.980,6268.520,511313.850,910108.420,46407.760,2136053.160,1735225.920
512,64,0,3625618.690,4582075.410,16156.960,13063.720,9558.090,393966.550,729471.380,50802.730,2017820.490,1293878.500
512,64,1,3369233.500,4541136.870,16302.020,13328.630,9878.250,307711.200,710211.480,45376.130,1716255.290,1100218.120
512,64,2,3553188.670,4793650.230,17784.630,13124.830,9191.960,462686.650,703488.010,48084.730,1976764.310,1353142.100
512,128,0,4215189.030,5373052.130,32824.460,21852.420,13668.940,470812.000,797470.540,56119.180,3443286.670,1581816.140
512,128,1,3522470.610,5237959.230,28343.500,19863.230,14751.440,522042.090,784076.550,46596.020,3008698.750,1543629.340
512,128,2,4027712.590,5664752.900,28081.900,20541.930,14001.680,364710.330,801891.730,59213.100,3336817.770,1560096.020
512,256,0,4333138.520,6418065.450,60193.340,44091.030,21806.680,423138.970,822956.220,57851.880,5901279.520,1767257.690
512,256,1,4548018.430,6248142.180,57413.240,44644.690,24824.400,538355.980,787002.220,54498.670,5734139.890,1816208.760
512,256,2,4424568.340,6571018.170,55753.190,45139.110,23314.150,534280.890,776960.450,58355.260,6203870.710,1807352.040
512,512,0,5276077.290,7616718.520,129295.920,172685.540,33565.880,756326.190,909088.740,62431.100,14132628.090,2324639.830
512,512,1,5392804.160,7575827.280,134142.700,151807.310,33320.910,905123.700,998033.700,63317.490,14759553.750,2554190.310
512,512,2,5452656.490,8245957.130,150093.490,174876.480,30868.340,836463.940,908353.480,59258.940,13954879.020,2427133.790
512,1024,0,6156594.630,9952379.290,325508.160,711547.440,65983.250,1304353.880,1063062.060,64194.690,31865212.080,3387321.350
512,1024,1,6212928.950,11240651.010,326648.050,676298.480,62129.650,1890861.980,1183124.460,70764.670,30682867.170,3492534.780
512,1024,2,7105383.750,11231676.850,311623.100,798058.030,59783.290,1969873.550,1190182.230,64930.770,27349368.220,3092573.120
512,2048,0,8213125.950,15354053.840,617574.760,1410746.030,94251.310,1664130.830,1356919.930,67432.280,56137249.360,4771179.980
512,2048,1,7766378.960,15753291.070,618189.960,1362436.190,90448.770,1797352.290,1330818.480,67643.900,61271386.510,5056379.720
512,2048,2,7546131.120,14579804.540,618409.640,1406990.510,91594.960,1579530.130,1362835.150,69085.880,59347017.650,4793297.440
512,4096,0,11347875.010,24406102.890,1303672.440,2412814.040,193599.320,3127913.740,1815943.390,69974.890,119290562.320,7972303.190
512,4096,1,11520259.640,25045383.070,1311103.120,2527147.270,173271.550,3354427.940,1794471.130,69717.920,122690915.970,8324220.150
512,4096,2,12504096.360,25463006.180,1330457.560,2739027.540,194385.400,3419699.640,1878894.220,65085.540,115429491.450,8166827.070
512,8192,0,22646688.800,43680030.550,4327997.610,4973753.820,599054.990,7309297.100,2773066.440,71969.140,240756705.410,14680747.550
512,8192,1,24013556.510,45308468.730,4335882.600,5362905.840,718960.920,7481774.920,2797583.700,69839.570,235378379.310,14339380.530
512,8192,2,19316621.680,42668231.100,3903128.790,4787282.800,690962.710,8951031.560,2991605.760,71759.630,248445855.100,15506096.750
512,16384,0,57953121.990,83228131.930,10976854.230,18206909.110,3327699.140,32002400.810,4837697.100,70920.410,485986140.380,28357969.080
512,16384,1,60681438.960,79940459.630,10534910.000,17848071.510,3511086.740,32227461.080,4913484.830,70921.200,477433567.850,28184940.060
512,16384,2,61474970.030,81931138.800,11280923.180,19008437.490,3506142.800,34792611.340,4973445.960,70053.080,492295284.320,28222249.740
