F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,48630.405,108185.270,490.900,1019.861,747.148,5463.675,9403.546,89.217,36557.886,37807.149
8,512,1,34319.133,103087.478,452.739,1133.823,934.977,-603.272,9615.089,92.711,37823.915,30585.331
8,512,2,35316.970,119011.092,438.347,1152.342,841.437,3620.127,9279.098,77.835,30466.105,33939.821
16,512,0,133514.234,365836.411,1595.005,2215.717,2002.056,-4309.230,30452.965,316.336,104995.212,111339.727
16,512,1,121201.308,399077.737,1705.736,2249.150,1894.637,17585.769,23127.138,282.489,102953.856,133549.054
16,512,2,99222.205,362882.886,1244.318,1685.812,1683.972,6263.642,32306.134,319.433,127240.623,115765.162
32,512,0,403323.568,1407671.837,10633.665,4659.416,3370.198,54425.591,81156.965,1403.405,393443.576,462921.899
32,512,1,441891.747,1339074.276,11263.696,5374.490,4515.354,31522.716,78541.868,1540.506,424942.230,377535.981
32,512,2,427796.650,1076879.837,7796.510,4671.720,4184.965,-41816.809,90004.988,1627.677,444471.961,405313.222
64,512,0,1550211.770,4325401.230,45990.190,7801.370,7297.930,109545.600,263972.100,6007.250,1723572.670,1790180.020
64,512,1,1516378.670,5076855.780,48217.880,10553.020,7021.210,109314.490,271070.910,5849.010,1511885.320,1819575.370
64,512,2,1574300.570,4657555.560,46555.430,12824.010,7506.230,-9239.500,259650.350,5802.890,1493933.220,1607202.710
128,512,0,5684539.040,17660495.350,197545.980,133102.010,15302.630,126025.650,1027110.430,21232.090,6363880.710,6588041.260
128,512,1,4661209.520,16637685.980,192729.120,136903.240,13371.670,119175.240,979236.830,21155.750,6246203.050,6630027.410
128,512,2,5582453.870,17834618.810,204069.100,144779.490,15059.540,138274.160,992538.640,20872.790,6254127.830,6234761.960
256,512,0,20826529.460,67207427.100,783253.530,1364072.570,30031.470,435427.820,3593100.120,66366.180,24249292.930,25215737.370
256,512,1,21510561.280,68365649.130,809647.230,1447511.470,32288.000,473087.760,3703234.200,64782.060,24337521.850,25757874.240
256,512,2,21901885.160,66777402.200,746323.540,1332622.590,31583.650,257730.260,3929401.550,67845.460,23674796.250,24000033.010
512,512,0,81358948.010,265233382.110,3143447.210,7441778.080,109798.890,1947998.900,13715915.100,212581.980,94380004.210,97533616.160
512,512,1,82307372.820,260456240.500,3147266.290,7516802.190,111031.750,2081129.980,13927175.200,211483.680,95286924.790,97639174.480
512,512,2,83932631.480,264590059.430,3179909.910,7531744.790,112293.570,2133263.650,13933798.270,209746.950,97323040.840,97183344.440
1024,512,0,319661974.740,1063427000.630,12577658.830,32780386.740,925892.040,8143445.360,52881348.200,723577.340,385775746.370,395429849.690
1024,512,1,319921392.810,1052805767.740,12168587.350,31448373.750,748594.180,7148340.330,53133252.020,744279.970,390414916.570,388730753.570
1024,512,2,319900027.410,1070468767.750,12733080.670,31073715.670,809056.820,7315851.030,52555750.590,710389.030,372688123.570,391609000.980
2048,512,0,1252090667.800,4173282937.600,50160974.560,130533011.760,736794.790,19979758.180,209932951.520,2572375.280,1509678696.430,1578170159.630
2048,512,1,1235847669.670,4090223183.680,51347254.620,126351427.180,748473.210,19766607.180,208093551.040,2626188.220,1564768600.030,1601795588.310
2048,512,2,1236942394.790,4196757687.130,48654985.280,131125421.320,1017383.040,19180741.400,210812336.710,2510452.250,1511423257.310,1554619261.100
