F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,40845.262,130523.231,499.428,1009.828,826.463,4003.847,10054.465,90.614,33938.419,34916.760
8,512,1,29907.196,108413.473,491.789,1029.421,822.977,4878.216,10170.745,99.792,38297.684,35359.729
8,512,2,49264.908,109613.241,439.425,970.477,939.559,1916.705,9425.647,76.558,30811.926,33099.138
16,512,0,120759.685,344710.998,1468.555,2006.773,1945.826,15907.448,29453.646,329.268,117864.495,106359.565
16,512,1,108282.596,402012.639,1579.533,2448.970,2147.562,11454.015,30840.062,340.859,116813.763,113209.372
16,512,2,127478.795,441154.880,1398.307,1588.141,1943.676,7101.462,25382.720,297.290,105563.283,129405.861
32,512,0,431464.219,1369919.405,11761.963,5422.848,3767.138,60901.439,74973.836,1355.576,388387.784,418748.045
32,512,1,363514.569,1136323.257,9895.283,4635.981,3897.472,-54510.691,103800.502,1604.052,432060.052,394367.190
32,512,2,380772.331,1300099.591,9792.933,4294.591,3487.829,32710.171,84740.825,1652.138,516186.524,444756.019
64,512,0,1495165.960,4254848.770,41859.250,17782.590,7015.640,103698.210,262036.660,6183.980,1658477.350,1800469.850
64,512,1,1534843.060,4961803.500,47875.760,17266.620,6876.950,130990.710,256693.840,5789.160,1562983.410,1768930.140
64,512,2,1491472.750,4242181.570,47582.640,19005.870,8009.120,-2265.510,281623.280,5813.120,1528759.740,1653946.230
128,512,0,5503014.430,16864848.650,191628.190,162123.000,15969.670,101088.850,988558.560,19234.860,5985772.700,6375761.560
128,512,1,5758178.480,17569986.460,180761.120,161802.260,15465.280,126493.470,999586.260,19437.010,6563934.950,6346874.400
128,512,2,5208947.870,17137524.580,190298.020,166060.800,15044.170,128633.710,946317.290,19904.740,6137136.720,6253350.150
256,512,0,21375938.880,66149945.680,776270.530,1325343.180,33034.440,436784.510,3570279.480,59684.940,24821298.880,24329206.030
256,512,1,20177100.020,63489892.340,773786.450,1333428.730,31370.570,290312.200,3525022.340,58661.480,24131887.060,24554758.860
256,512,2,20131703.440,69251882.630,854534.200,1365939.580,29223.750,460565.930,3615520.470,60250.380,24841037.010,26284661.310
512,512,0,80365382.340,258990712.930,3130529.220,7370576.250,65867.260,1661087.250,13587648.080,202139.670,95080306.660,98767751.980
512,512,1,81261001.530,265610904.140,3049936.280,7113625.510,83876.520,1506202.030,13497726.210,189795.280,96607286.660,96673786.750
512,512,2,82413779.630,263031431.520,3105517.970,7067382.990,88703.860,1615934.400,13794145.520,195156.070,96320458.720,98097307.510
1024,512,0,317200899.100,1041650434.440,12862638.960,31807335.150,2122372.140,13205063.270,52582511.440,666782.520,381945011.950,393400758.440
1024,512,1,313593631.680,1047274331.690,12652703.800,30516257.940,1904270.930,11904408.860,52035451.020,725105.860,384041321.510,390379627.960
1024,512,2,281150891.440,1060656515.710,12440304.360,30733338.410,2292684.170,14945832.540,51422520.700,676252.590,387444495.040,388229163.640
2048,512,0,1243024895.410,4129799945.900,48938837.490,127597822.320,1289446.810,19837958.840,206852642.920,2459907.160,1533423358.700,1554641747.410
2048,512,1,1232741453.350,3884182677.620,48420887.320,126456210.150,803265.270,20163875.690,207491458.260,2444371.240,1508984388.500,1552486338.840
2048,512,2,1245925201.050,4191805690.430,49468078.730,133534266.910,1273521.940,20376794.270,206940058.770,2496902.640,1516159816.130,1554309711.790
