F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,10974.157,36515.963,245.087,599.012,686.547,5565.130,4694.724,11.654,8568.470,9368.856
8,512,1,18219.920,36158.836,189.886,630.036,550.393,-1495.790,4476.821,12.145,8476.680,9571.101
8,512,2,21797.507,40377.024,208.350,599.433,600.158,1137.400,4187.820,12.860,8385.988,8511.669
16,512,0,48419.270,91534.132,446.325,1269.411,1021.288,939.579,12442.358,35.446,23184.883,28435.762
16,512,1,48055.277,96182.391,341.539,1207.030,1189.465,-7260.805,11503.756,36.751,21555.591,24812.799
16,512,2,43917.353,93651.040,416.289,976.535,937.920,2202.496,10611.518,32.956,20791.955,27455.545
32,512,0,138806.964,284498.479,1124.204,2553.242,2580.804,20016.171,36350.371,558.933,84500.302,84343.895
32,512,1,94172.188,315009.517,1378.184,2721.216,2672.649,66670.975,31811.402,487.089,62002.420,104551.987
32,512,2,101274.958,294168.481,1150.660,3089.139,3023.607,4346.914,32112.475,532.378,69192.685,78696.908
64,512,0,444996.346,1025397.076,6388.144,5563.349,4935.884,58690.560,92203.542,4549.221,270033.291,298691.341
64,512,1,458339.142,1076865.996,6724.869,5544.283,4938.343,74440.357,84990.822,4541.919,256991.824,306697.003
64,512,2,540599.789,858027.634,6325.882,4843.511,4841.572,26818.727,86562.999,4612.140,265107.808,297875.526
128,512,0,1644340.150,2883174.270,30200.800,13763.240,10045.800,-44443.870,325225.290,19238.710,1018452.180,1033681.510
128,512,1,1688655.760,3402495.960,31106.270,18661.510,10850.230,238318.650,256749.760,14985.790,791433.050,1279640.810
128,512,2,1555313.050,2847126.510,27415.160,15323.150,9453.820,98437.780,324602.420,19056.330,986016.000,1073935.530
256,512,0,5219742.360,12324421.120,140819.920,110144.140,17431.740,522114.090,920339.200,57451.300,3460102.250,4137926.830
256,512,1,5941829.900,10821976.450,138755.240,114060.110,19661.970,-44227.180,914319.420,52926.290,2957993.400,3653033.940
256,512,2,4901160.140,10722592.270,120701.460,107394.900,20078.770,264509.880,920312.410,59932.130,3647996.260,3988480.790
512,512,0,19218223.520,44116245.370,562297.470,1113688.100,42492.950,1422096.710,3076722.160,193670.820,13085897.590,15152953.580
512,512,1,19282561.970,44705946.680,550028.610,1148788.040,38574.730,1437482.160,3391441.320,199961.160,13653485.200,14658700.040
512,512,2,19123112.400,44726958.200,547733.450,1168192.130,40902.950,1671053.150,3197599.930,188618.950,12916915.030,14880608.800
1024,512,0,71313133.540,169780729.080,2265414.940,6417500.840,84443.640,5807866.360,11473040.800,687595.170,52907976.920,60363515.580
1024,512,1,70016061.760,165679868.840,2300775.630,6775325.850,86601.260,5972627.110,11379788.300,687384.360,53417374.930,59221539.910
1024,512,2,70071189.750,170588410.230,2310846.430,6554356.920,88116.010,5741153.450,11385248.940,671257.210,52890043.400,59215490.920
2048,512,0,267030148.580,655892143.230,9369428.290,30930057.360,181723.550,20038621.090,42336931.690,2521212.720,210647047.280,237061348.600
2048,512,1,267525851.590,655417836.450,9039306.540,29659543.090,181253.540,21041339.050,43085451.910,2588705.740,216743109.260,238092679.480
2048,512,2,267854804.970,662860766.120,9647221.310,31589299.640,175464.950,20235732.860,42182335.690,2539892.300,216288151.630,236782850.580
