F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
8,512,0,22936.163,35579.486,227.666,577.236,645.321,649.432,4907.978,13.197,8331.486,10037.875
8,512,1,19889.487,36266.052,205.685,707.142,618.855,6893.779,4305.339,14.020,8377.590,9848.946
8,512,2,17103.097,39212.585,187.559,507.024,610.057,1042.016,4553.379,12.181,8101.854,10221.479
16,512,0,39743.697,91329.812,420.428,1400.330,1235.400,4706.242,10596.450,32.137,24526.032,29852.903
16,512,1,26315.396,93168.912,316.198,1198.512,1248.873,20340.375,10948.903,34.297,23141.379,25888.974
16,512,2,28617.022,91280.359,435.503,1185.731,1241.284,9373.340,10265.216,33.790,21093.075,26599.806
32,512,0,121775.539,309556.811,1418.974,2619.440,2381.693,22595.950,30101.162,487.308,64622.248,99916.943
32,512,1,121498.991,304018.105,1285.459,2928.862,2813.240,-15920.223,39399.208,522.049,68273.321,84495.312
32,512,2,133150.386,308120.435,1249.717,2530.552,2601.463,35739.883,28140.920,524.255,72903.265,108424.354
64,512,0,415770.207,891422.767,6186.138,6574.002,4867.824,23468.971,92385.881,5528.779,253094.135,283329.625
64,512,1,484603.204,1036076.413,6463.589,6650.178,4811.411,79301.418,82240.739,4153.539,226405.710,333283.052
64,512,2,434916.971,886990.850,4837.753,5014.095,4299.696,7529.751,107010.938,5298.682,258799.496,284782.311
128,512,0,1583557.210,2970187.770,27092.620,19473.780,10928.290,6082.840,320716.670,20430.460,1020419.970,1087035.770
128,512,1,1433353.600,3826202.550,34061.410,25551.740,10954.550,128210.510,269325.120,15455.210,792867.260,1150061.930
128,512,2,1512936.890,3233242.350,28094.500,19873.490,9873.320,111116.940,288285.660,19947.590,1054715.540,1186933.510
256,512,0,5043569.810,11506801.620,115350.560,117495.470,21153.390,362802.530,869484.370,56525.740,3314804.350,3970441.970
256,512,1,5361311.730,11586074.300,129432.890,126422.760,21041.720,198353.870,754761.030,47929.080,2812114.120,3507504.400
256,512,2,4763680.570,11160135.300,127266.390,117217.380,20986.730,309803.780,908295.790,55292.890,3448601.450,3747446.720
512,512,0,18818505.460,43772334.800,556915.210,1127033.800,43514.640,1196495.760,3151158.780,183860.760,13460415.400,14949988.300
512,512,1,19111869.620,42005525.720,544770.440,1132939.930,39636.910,1417241.930,3045675.940,188306.280,13100482.350,15462541.750
512,512,2,18655120.430,42866679.750,536835.500,1108442.120,40673.450,1055930.730,3135311.260,183366.200,13527354.660,14964495.280
1024,512,0,70130723.520,164915823.700,2239471.090,6450277.050,87358.150,5671379.950,11352427.270,666099.080,53814929.230,58684649.570
1024,512,1,73088119.500,168819044.540,2297557.090,6475131.930,84824.100,5942522.670,11250537.200,656307.640,53068001.920,58824269.110
1024,512,2,72353722.270,167126569.120,2267396.260,6600926.850,85859.470,5778508.220,11512651.420,686500.440,53724655.930,64289923.940
2048,512,0,254281683.300,648451446.480,8831688.750,30844096.070,183908.370,21537551.010,42487743.840,2530620.250,221968333.270,241693063.510
2048,512,1,262052777.000,628167063.600,9125695.640,31174690.620,184486.450,19293773.840,40794202.750,2601123.020,206556780.390,232149202.480
2048,512,2,253494549.080,676739341.760,8901166.860,28763184.950,188955.990,17734747.390,42243824.080,2520553.240,213574321.820,242905527.920
