F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,9864794.690,20092872.430,354374.200,90808.630,5734.750,481513.990,1961802.090,87326.550,4073397.170,6276089.330
512,32,1,10135448.680,19809296.540,358500.360,93295.610,5852.510,445135.070,1967529.200,85861.960,3965018.850,6298638.090
512,32,2,9899937.070,19883605.980,338171.720,85148.220,6759.570,540952.380,2045118.620,88929.790,4073640.710,6227785.410
512,64,0,16286786.310,42659243.560,527052.920,179692.280,10642.010,459199.570,3238778.930,95936.750,12383943.370,14996692.120
512,64,1,17211606.120,42479169.430,522441.880,183444.980,9605.720,469613.520,3228415.570,97666.550,12411958.740,14866765.020
512,64,2,16385036.200,45164599.470,519555.230,182181.560,10750.320,451947.340,3180276.740,93288.700,12780565.870,15432964.130
512,128,0,25018889.890,70968361.040,905369.600,929312.280,18834.980,637437.160,4456347.710,140020.220,23672391.970,26765792.040
512,128,1,24959425.970,72819979.540,859843.030,939562.190,19501.630,656692.060,4638296.360,148908.040,24191121.420,25648200.940
512,128,2,26021734.020,72206749.380,881070.240,950587.710,17724.790,579783.150,4428276.820,142882.930,23382901.020,25179968.070
512,256,0,41959084.180,128718025.990,1501872.050,2955039.040,36364.240,987740.580,7623505.140,171453.360,45425601.410,47396694.990
512,256,1,41633837.580,127975157.960,1522115.790,2913520.460,36544.860,991894.200,7234451.350,169689.150,45100362.400,49022335.800
512,256,2,41348025.350,132569704.400,1599790.910,3084531.530,34329.160,928915.420,7358445.690,173798.030,44874581.920,48424130.750
512,512,0,81531960.970,259475892.850,3133850.160,7453194.720,157047.770,2161880.590,13812864.590,208747.940,96969036.820,97243748.560
512,512,1,79496461.060,259757380.210,3069161.250,7334279.890,151912.200,2185586.480,13752524.160,210807.650,96139559.870,98374141.640
512,512,2,82763431.200,256960872.910,3096469.080,7192629.890,150932.470,1956944.430,13728385.560,210372.540,96052830.260,100590422.610
512,1024,0,153140008.580,547127318.540,6417488.820,13512136.470,199011.850,2442793.000,25383484.910,189496.940,194953350.740,202562521.140
512,1024,1,165787762.130,555211422.830,6552870.770,14638479.520,532496.900,5094474.650,25257280.480,206320.740,193148750.050,203743627.960
512,1024,2,153570166.090,459188920.700,6329402.180,13228175.610,723943.100,5741534.670,26511427.780,208118.910,203699509.260,215362255.200
512,2048,0,305841611.060,1017076702.480,12257430.010,27185805.170,332080.830,5229333.150,52123334.000,207328.900,389236128.620,393719584.870
512,2048,1,307505824.120,1062815594.590,12735230.190,30100779.050,297066.940,4328680.340,53567669.640,202927.870,414785615.260,390002831.630
512,2048,2,306010419.990,1000606146.340,11594421.180,27554690.890,317287.190,4623370.000,54081203.500,204608.180,398035170.520,383399087.930
512,4096,0,744238612.830,2451074738.630,29196346.140,66467645.460,12334397.410,51186504.390,103187490.460,204890.180,531906820.110,821456776.980
512,4096,1,556604711.420,1788169456.490,16736332.690,50752073.870,7145234.300,48626199.200,111866013.360,244661.570,936188153.160,790048970.030
512,4096,2,896983854.290,3283885083.650,39643361.800,76653052.560,11050700.400,24354525.570,69129034.490,96087.730,708100419.890,793899645.190
512,8192,0,1429402247.870,4177050319.710,98023367.240,110437694.660,51383000.320,231304024.030,201476171.430,211699.030,1575598540.890,1568992056.090
512,8192,1,1445729447.120,4220009341.940,97870898.890,113056016.460,48435148.650,226910225.250,202978966.130,210726.610,1582288027.440,1562938371.260
512,8192,2,1461544200.140,4233933571.480,99170814.690,107161849.750,51399181.950,230770419.820,193239040.060,210202.750,1583735158.360,1577546160.320
512,16384,0,2949388314.310,8479183053.350,227679255.870,227347526.770,128669554.310,495829399.360,384900917.770,236327.130,3059872908.910,3022992075.220
512,16384,1,2825770417.960,7818864365.020,174356951.000,192487943.690,128826113.390,552584572.700,446698218.550,277775.650,3398684974.600,3272752577.730
512,16384,2,2924915380.470,8325982879.980,238477129.760,232219976.170,128836640.400,505763812.030,401449681.030,239722.680,3111019690.850,3368826717.830
