F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,8902356.320,19564061.840,329801.530,26408.260,6242.860,339570.630,1844046.340,69072.910,4050032.130,6320175.410
512,32,1,8681952.840,19098103.120,333126.970,24368.420,6241.230,419568.360,1844336.740,71192.050,4184619.390,6701578.050
512,32,2,8469578.630,19910275.650,351481.720,28514.230,6345.670,312702.410,1827993.410,70342.150,4142062.490,5905051.930
512,64,0,14561899.090,41117909.060,532563.750,99116.120,10727.780,266833.130,2931567.830,78721.170,12466443.860,14732465.330
512,64,1,15376845.900,42046046.800,516743.720,96248.400,9969.660,376598.740,2989414.440,77677.180,13268760.060,15117807.300
512,64,2,15605912.930,41012376.390,536951.590,98686.810,10804.360,289341.000,3024657.960,78455.000,13150673.810,14472650.060
512,128,0,25076370.500,72096846.720,884765.420,833143.440,19093.730,659837.480,4384374.420,128324.700,24052616.650,25587862.120
512,128,1,24292844.980,70099152.230,858715.090,854545.470,18108.300,596916.290,4310025.330,127860.100,22856120.350,25988707.150
512,128,2,24706493.470,68205255.540,886879.840,794044.670,19112.900,483500.450,4470363.060,128961.300,24014717.720,24937739.930
512,256,0,40328435.340,128743390.520,1554558.310,2995871.710,38717.960,1066280.030,7168185.800,153794.980,46677213.910,49302909.630
512,256,1,41003540.410,127414379.980,1544250.710,3016539.510,34961.390,991324.800,7510697.910,152688.480,44576127.220,45846935.780
512,256,2,41255012.830,128582042.670,1520238.660,3127924.850,35754.850,860882.810,6878567.760,159291.650,45411395.020,45667586.350
512,512,0,79746836.310,261103865.790,3141204.030,7466360.740,73827.560,1694978.740,13682050.640,201582.310,96468961.980,96627101.390
512,512,1,80008133.650,265511922.210,3216664.430,7269894.590,89044.080,1478768.510,13194540.020,192934.770,95429325.010,96749826.980
512,512,2,80238395.380,262717991.370,3092327.400,7366457.970,92592.270,1756774.440,13636110.580,196919.810,97322746.680,98992761.550
512,1024,0,159951436.190,526988384.280,6620798.700,13346014.030,137528.210,2763251.340,26253960.890,185882.980,194798498.470,195919804.260
512,1024,1,160534519.400,537766453.590,6098204.980,13925246.240,559401.350,4889359.340,26094533.920,232459.450,192921590.630,212585668.650
512,1024,2,152223121.820,503934544.440,6364011.870,13095246.090,179516.790,3276124.920,27435559.550,175156.290,207303964.670,172762621.050
512,2048,0,307734865.310,1040360650.370,12464754.810,28256544.300,319611.600,5079611.480,51031300.910,199022.000,396596968.810,396197941.750
512,2048,1,307708182.400,983183571.920,12665440.620,27972413.460,307562.490,4296523.550,49866313.730,196859.200,394059550.550,393833844.040
512,2048,2,308234746.850,1032006800.260,12314229.980,27043124.880,288832.620,4461627.850,52402623.720,197320.960,393151302.920,394752144.160
512,4096,0,646260365.550,2095942141.560,25804580.580,25311471.290,8863863.790,44772051.070,103568416.410,202836.360,812394560.260,709477125.780
512,4096,1,643956100.410,3718506771.610,45266149.900,103148799.650,10880415.640,39015301.300,93502758.160,193927.180,813779566.360,800613897.950
512,4096,2,667485719.020,1410101177.220,17902573.620,43779207.460,8263847.860,52975286.210,105018967.320,225102.120,778339512.440,804120718.040
512,8192,0,1425643576.540,4152667170.290,99605677.380,111035998.750,49079618.860,232838440.830,201506515.540,208709.680,1579331608.500,1568778772.070
512,8192,1,1369179898.000,4165777467.590,100775003.620,111195864.480,48801423.470,236102277.520,200528610.880,209605.020,1642220418.500,1575094686.180
512,8192,2,1477923199.610,4161313260.310,99958507.070,110981076.240,49675677.920,234884068.240,201080933.860,220976.920,1727000113.750,1575402526.040
512,16384,0,2859438258.920,8222373325.330,196603998.030,217680936.190,130560326.860,490404346.480,400437750.360,221956.730,3249359107.750,3162396863.400
512,16384,1,2850028976.010,8363428456.980,195413854.880,218396453.740,136293124.020,579076537.140,398003407.470,224442.470,3170738092.450,3163781271.130
512,16384,2,2830325788.200,8301486782.430,248501339.210,216027133.030,146117693.680,567650714.100,401427613.470,222764.230,3183368269.510,3177763030.780
