F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,4658356.470,9197119.940,187109.450,25630.410,6471.530,294285.460,1565632.100,64612.200,542355.580,2043605.920
512,32,1,4723018.800,9037366.080,179195.350,22509.540,6354.190,355517.090,1559622.300,64133.060,527089.590,2025482.960
512,32,2,4844173.560,8951307.840,181742.040,26432.220,6261.910,329575.300,1510318.280,63187.310,517463.010,2043915.690
512,64,0,6827948.660,10585033.910,127493.440,63002.250,10434.410,573152.430,1432911.470,106205.120,1621557.530,3443420.920
512,64,1,5862391.350,10867725.710,119701.510,57724.370,9899.740,520360.640,1342177.080,103001.720,1526761.900,3303152.410
512,64,2,7034870.820,10358339.940,117812.200,57102.180,9576.050,602160.880,1370457.150,104626.940,1650424.380,3512347.210
512,128,0,8957359.160,15296144.070,205296.910,83589.860,15432.760,720104.040,1701493.230,136861.400,2922877.550,4832914.810
512,128,1,9064999.310,15285226.560,206654.010,84121.030,15861.030,897070.000,1686762.750,145227.820,3011847.970,4546953.240
512,128,2,8367287.460,14802479.960,185485.880,85723.540,14320.010,675529.060,1795181.090,139258.430,2833300.350,4984488.320
512,256,0,11578652.390,23512508.520,305185.180,319694.850,23378.250,909051.880,2038038.140,166528.120,5228778.940,7087850.970
512,256,1,12567377.690,22945561.200,310137.600,278535.900,24835.200,936894.060,2149433.030,180493.460,5396309.500,7375167.430
512,256,2,11970901.080,21751134.440,303779.910,288624.110,21806.850,828251.730,2008217.990,168681.290,5083114.120,7312062.530
512,512,0,19852882.100,43451091.060,524538.530,1124717.580,41159.380,1385585.390,3185305.400,191607.760,13409601.540,15107836.690
512,512,1,18255131.370,46779870.590,548684.710,1086513.380,40145.830,1592092.550,3264347.690,200227.480,12943546.190,14647595.940
512,512,2,18984421.690,44279839.090,523096.350,1037857.180,39514.710,1598425.980,3253595.380,192479.770,13179273.160,15517613.190
512,1024,0,31833079.600,84422109.600,1046810.380,3058381.060,71467.370,2027850.220,5439007.790,206444.250,30383804.490,30885178.370
512,1024,1,32155398.040,90988513.070,1030495.960,3190350.820,84574.180,1624494.600,5224271.000,203966.860,30136795.490,30272458.380
512,1024,2,31741409.570,86415021.840,1026988.020,3144691.950,76898.360,1597934.060,5180494.620,202187.620,28718155.650,31814042.490
512,2048,0,55696134.940,164058345.970,2012536.180,5757623.860,117554.270,2226363.130,8962254.780,199648.830,57786193.970,59078470.410
512,2048,1,53389435.870,160005132.310,1934659.630,5522893.880,119106.840,2149907.430,9102974.620,200786.780,57720731.480,60858317.970
512,2048,2,54509876.610,165679371.040,2022110.210,5776114.360,111343.240,1687391.170,8757762.730,194633.590,56146128.680,57288220.010
512,4096,0,96934350.890,318420886.100,3877784.510,9497082.750,248019.370,3218482.620,16511243.920,198321.890,117229259.040,117712040.690
512,4096,1,96959464.260,306800020.300,3770840.990,9576906.640,235186.760,2565654.520,16539836.090,201499.330,115830667.610,119238930.650
512,4096,2,97914623.240,318944154.190,3979506.200,9862564.780,236834.960,3125635.180,16156023.150,191050.930,116879184.570,113849448.760
512,8192,0,197579039.060,629582712.830,7786811.850,18214803.190,2106506.280,13402221.190,31659501.100,198180.410,236226738.710,235224190.680
512,8192,1,197254960.240,625122502.470,7828974.830,18337031.160,2096585.160,12891708.970,32295571.130,201657.510,231601541.900,237441640.960
512,8192,2,202397457.930,640121719.390,7617311.910,18039367.680,2033139.810,12037750.070,31518417.520,198570.110,237546406.400,238700281.690
512,16384,0,430571361.810,1178290980.330,21460845.370,38243225.550,12126356.070,54162170.230,62673910.510,208505.440,488053318.860,459605298.410
512,16384,1,478493148.360,1390905726.220,21370018.800,36998718.010,12334590.670,47501608.520,58966709.090,191273.610,443795040.610,465951408.150
512,16384,2,390614531.890,1262685886.400,21745685.070,37061049.080,11906151.960,72889126.750,66827645.400,202326.270,467676544.530,481123452.760
