F,S,trial,papi_tot_cyc,papi_tot_ins,papi_l1_dcm,papi_l2_dcm,papi_l3_tcm,papi_res_stl,papi_br_ins,papi_br_msp,papi_sp_ops,papi_lst_ins
512,32,0,4653504.920,9106890.730,183575.120,47270.510,6308.680,359226.830,1595823.510,65736.010,526866.280,2164827.880
512,32,1,5055653.010,9311867.170,198750.750,45695.430,6327.720,343177.430,1648114.170,65341.550,531466.150,2148823.720
512,32,2,4955793.810,9532559.760,190174.320,44315.120,6332.890,344529.770,1552359.280,65423.420,549421.900,2049073.600
512,64,0,6843479.640,10869193.140,126951.510,32755.340,10119.840,469836.900,1270668.090,106891.530,1618070.710,3301305.020
512,64,1,7008699.360,11777689.500,126530.470,33270.850,9419.040,488921.400,1301679.880,103034.330,1599034.860,3481152.970
512,64,2,6557454.450,10656660.090,118739.140,31335.540,9645.100,563528.530,1290701.550,108373.840,1610446.830,3283719.660
512,128,0,8851343.990,15321832.860,199074.830,106912.650,15129.680,667467.990,1679438.790,136439.010,2969507.680,4656099.140
512,128,1,8587679.730,15156942.370,199622.440,99352.870,14035.780,565653.010,1623275.630,127469.800,2715064.960,4991338.350
512,128,2,9228145.810,15668288.460,201794.800,100244.970,15449.120,616019.420,1671098.150,136909.920,2920309.000,4858825.700
512,256,0,11820931.570,22153262.680,283868.650,293450.880,24192.700,846948.670,2071968.810,175074.280,5563893.940,7377225.190
512,256,1,11711782.230,20075458.580,297894.010,284002.170,24969.890,1100118.860,2202123.120,180516.020,5592684.500,7084488.560
512,256,2,11836336.680,23258517.820,303287.070,286843.410,22812.950,958318.440,2087296.890,167909.110,5217432.050,7224943.050
512,512,0,18359485.210,43322605.710,569618.560,1133458.730,42852.310,1244040.210,3085312.180,186024.490,13588115.360,15257117.190
512,512,1,19032017.010,41271567.570,545959.520,1035114.700,43927.990,1287254.430,2992055.280,192048.710,13314753.520,14295050.600
512,512,2,18378910.790,44270673.120,540294.320,1088348.310,42663.700,1399890.790,3074683.590,192289.420,13001546.240,15189155.270
512,1024,0,30726912.810,84585937.050,1090777.100,2914558.660,78756.720,1659149.420,4905693.000,189066.350,28408821.590,30809246.420
512,1024,1,31561999.450,83006480.990,1090235.120,3109178.360,82082.900,2292581.290,5505963.880,194389.520,29106303.290,28973721.580
512,1024,2,31743858.570,80654617.310,1059604.830,3104146.130,81828.520,1596512.350,5210540.980,190816.000,29229342.910,29945626.390
512,2048,0,55236958.370,160777789.430,2026942.480,5740299.130,122699.130,1846127.810,8906545.060,193890.640,59530934.300,61457775.540
512,2048,1,52363050.380,162642030.320,1993018.300,5659689.540,116537.110,2181802.790,8796067.810,190708.380,58546714.940,60162847.330
512,2048,2,52953155.800,160934399.950,1962244.600,5673430.760,113247.520,2536682.670,8972224.690,196319.520,59196548.840,61249263.130
512,4096,0,96665060.580,314359541.200,3853837.080,9745013.260,230721.390,2989055.430,16159594.600,191673.210,117246665.370,116386130.120
512,4096,1,97007791.110,312746331.060,3834329.680,9851152.450,249658.400,2587848.790,16533965.950,194072.710,114987196.090,118827478.180
512,4096,2,94010607.190,302325484.610,3894908.310,9901178.590,245169.560,2256962.090,16577621.090,189051.410,116153562.150,115538890.730
512,8192,0,195459742.420,618279455.450,7623217.380,17939474.080,1913115.630,12086899.750,31641276.600,192609.500,237700471.490,233592458.180
512,8192,1,195606795.950,632333052.800,7513718.480,18120126.610,1938812.060,11455403.570,31369296.410,195433.430,238087431.070,236441999.460
512,8192,2,190558553.280,616658485.670,7814846.710,18262270.700,2053972.260,10344941.520,31293019.410,193580.610,236332561.560,228828256.300
512,16384,0,411974077.290,1232765374.990,22487230.290,39190058.010,12475429.570,65233302.580,62694457.780,190231.570,462543510.240,460128857.100
512,16384,1,411185621.550,1285797510.460,23030584.950,38834272.640,12368044.420,59026262.880,60393965.720,188508.370,451853250.090,457038363.730
512,16384,2,421336855.880,1168494768.530,20642104.310,38554594.650,12826202.910,68035973.960,65921839.820,200974.860,494816413.320,468619053.020
